,dispatching_base_number,date,active_vehicles,trips
228,B02764,2/8/2015,3422,29692
229,B02765,2/8/2015,313,2623
230,B02598,2/8/2015,923,8129
231,B02617,2/8/2015,1256,11004
232,B02682,2/8/2015,1136,10356
233,B02512,2/8/2015,176,1196
234,B02617,2/9/2015,1312,10887
235,B02682,2/9/2015,1241,10209
236,B02598,2/9/2015,976,8135
237,B02764,2/9/2015,3543,28266
238,B02512,2/9/2015,228,1565
239,B02765,2/9/2015,388,2894
240,B02764,2/10/2015,3700,29124
241,B02512,2/10/2015,233,1555
242,B02617,2/10/2015,1364,11401
243,B02765,2/10/2015,422,3432
244,B02682,2/10/2015,1281,10536
245,B02598,2/10/2015,1029,8718
246,B02617,2/11/2015,1450,12749
247,B02764,2/11/2015,3849,31889
248,B02512,2/11/2015,255,1831
249,B02598,2/11/2015,1115,10034
250,B02765,2/11/2015,450,3778
251,B02682,2/11/2015,1396,12189
252,B02617,2/12/2015,1532,14263
253,B02512,2/12/2015,269,2092
254,B02682,2/12/2015,1468,13786
255,B02765,2/12/2015,536,4609
256,B02598,2/12/2015,1181,11640
257,B02764,2/12/2015,4137,36844
258,B02617,2/13/2015,1590,16996
259,B02682,2/13/2015,1523,16088
260,B02764,2/13/2015,4395,43561
261,B02765,2/13/2015,599,5909
262,B02512,2/13/2015,281,2408
263,B02598,2/13/2015,1216,13062
264,B02764,2/14/2015,4129,45858
265,B02512,2/14/2015,236,2055
266,B02598,2/14/2015,1111,12678
267,B02765,2/14/2015,583,6307
268,B02617,2/14/2015,1486,16999
269,B02682,2/14/2015,1428,16448
270,B02682,2/15/2015,1261,14517
271,B02764,2/15/2015,3651,41209
272,B02617,2/15/2015,1293,14662
273,B02765,2/15/2015,521,5500
274,B02512,2/15/2015,210,1996
275,B02598,2/15/2015,1003,11517
276,B02598,2/16/2015,934,9052
277,B02512,2/16/2015,207,1576
278,B02617,2/16/2015,1214,11824
279,B02764,2/16/2015,3524,33448
280,B02682,2/16/2015,1164,11323
281,B02765,2/16/2015,508,4875
282,B02764,2/17/2015,3826,32473
283,B02512,2/17/2015,241,1797
284,B02682,2/17/2015,1314,11887
285,B02617,2/17/2015,1378,12524
286,B02598,2/17/2015,1066,9463
287,B02765,2/17/2015,578,4907
288,B02598,2/18/2015,1078,9538
289,B02682,2/18/2015,1314,11724
290,B02617,2/18/2015,1394,12016
291,B02765,2/18/2015,586,5059
292,B02764,2/18/2015,3842,32317
293,B02512,2/18/2015,228,1589
294,B02598,2/19/2015,1127,11739
295,B02512,2/19/2015,250,2120
296,B02682,2/19/2015,1428,14591
297,B02764,2/19/2015,4110,39110
298,B02765,2/19/2015,663,6447
299,B02617,2/19/2015,1452,14750
300,B02764,2/20/2015,4384,44755
301,B02617,2/20/2015,1574,16856
302,B02598,2/20/2015,1186,12758
303,B02682,2/20/2015,1497,16342
304,B02765,2/20/2015,736,7824
305,B02512,2/20/2015,272,2380
306,B02598,2/21/2015,1044,12132
307,B02682,2/21/2015,1374,16149
308,B02765,2/21/2015,685,7658
309,B02617,2/21/2015,1443,16098
310,B02512,2/21/2015,238,2149
311,B02764,2/21/2015,3981,44194
312,B02512,2/22/2015,199,1312
313,B02617,2/22/2015,1248,10696
314,B02682,2/22/2015,1220,10970
315,B02764,2/22/2015,3478,30157
316,B02598,2/22/2015,909,8271
317,B02765,2/22/2015,566,5034
318,B02598,2/23/2015,966,8943
319,B02617,2/23/2015,1332,11720
320,B02764,2/23/2015,3734,31173
321,B02682,2/23/2015,1262,11714
322,B02765,2/23/2015,665,5823
323,B02512,2/23/2015,238,1844
324,B02764,2/24/2015,3965,34686
325,B02512,2/24/2015,247,1869
326,B02598,2/24/2015,1061,9954
327,B02682,2/24/2015,1346,12497
328,B02617,2/24/2015,1456,13719
329,B02765,2/24/2015,698,6390
330,B02512,2/25/2015,246,1647
331,B02598,2/25/2015,1076,9405
